x-axis,1,2
second,Volt,Volt
-89.700E-06,+1.300568381E+00,+606.794402E-03
-89.600E-06,+1.300849543E+00,+608.148800E-03
-89.500E-06,+1.303231816E+00,+609.593138E-03
-89.400E-06,+1.304730989E+00,+611.066748E-03
-89.300E-06,+1.306109648E+00,+612.284639E-03
-89.200E-06,+1.307692320E+00,+613.392666E-03
-89.100E-06,+1.309026215E+00,+614.698428E-03
-89.000E-06,+1.310346070E+00,+616.144593E-03
-88.900E-06,+1.311086994E+00,+616.260674E-03
-88.800E-06,+1.312229214E+00,+618.334256E-03
-88.700E-06,+1.313175658E+00,+618.912814E-03
-88.600E-06,+1.314283926E+00,+620.322983E-03
-88.500E-06,+1.314711576E+00,+621.295395E-03
-88.400E-06,+1.315495835E+00,+623.884666E-03
-88.300E-06,+1.316782540E+00,+624.911811E-03
-88.200E-06,+1.316900745E+00,+626.375374E-03
-88.100E-06,+1.317522017E+00,+628.564169E-03
-88.000E-06,+1.320023634E+00,+628.502489E-03
-87.900E-06,+1.321184917E+00,+631.562926E-03
-87.800E-06,+1.322412281E+00,+632.445254E-03
-87.700E-06,+1.323889215E+00,+634.343908E-03
-87.600E-06,+1.323301568E+00,+635.900799E-03
-87.500E-06,+1.326586758E+00,+637.093531E-03
-87.400E-06,+1.326862191E+00,+637.794629E-03
-87.300E-06,+1.327277357E+00,+639.451151E-03
-87.200E-06,+1.329234001E+00,+641.202124E-03
-87.100E-06,+1.331074098E+00,+642.494811E-03
-87.000E-06,+1.331593581E+00,+644.724090E-03
-86.900E-06,+1.330825700E+00,+647.100694E-03
-86.800E-06,+1.331975458E+00,+647.110940E-03
-86.700E-06,+1.332779462E+00,+649.973171E-03
-86.600E-06,+1.333985243E+00,+651.671654E-03
-86.500E-06,+1.334449794E+00,+654.553684E-03
-86.400E-06,+1.334072348E+00,+655.441161E-03
-86.300E-06,+1.335255425E+00,+656.826882E-03
-86.200E-06,+1.335711484E+00,+656.637765E-03
-86.100E-06,+1.336078105E+00,+657.835532E-03
-86.000E-06,+1.337073529E+00,+660.221785E-03
-85.900E-06,+1.337465936E+00,+661.600203E-03
-85.800E-06,+1.337867534E+00,+663.119434E-03
-85.700E-06,+1.337512950E+00,+665.756226E-03
-85.600E-06,+1.339644130E+00,+667.116787E-03
-85.500E-06,+1.339415398E+00,+668.751014E-03
-85.400E-06,+1.342488299E+00,+671.699669E-03
-85.300E-06,+1.341235595E+00,+672.562470E-03
-85.200E-06,+1.342610503E+00,+673.698708E-03
-85.100E-06,+1.342083041E+00,+674.893085E-03
-85.000E-06,+1.345742848E+00,+676.746661E-03
-84.900E-06,+1.347983578E+00,+679.322424E-03
-84.800E-06,+1.345582665E+00,+681.262303E-03
-84.700E-06,+1.346731228E+00,+681.761511E-03
-84.600E-06,+1.348633766E+00,+684.722649E-03
-84.500E-06,+1.348604609E+00,+686.342180E-03
